WALKING 10
Date:,2019/07/18
Time:,15:31:41
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Right,Foot Strike,1.690000,The instant the heel strikes the ground
Patient 1,Right,Foot Off,2.430000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,RFootProgressAngles,,,RGroundReactionForce,,,RNormalisedGRF,,,RAnkleForce,,,RKneeForce,,,RHipForce,,,RGroundReactionMoment,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RAnklePower,,,RKneePower,,,RHipPower,,,PELO,,,PELP,,,PELL,,,PELA,,,RFEO,,,RFEP,,,RFEL,,,RFEA,,,RFOO,,,RFOP,,,RFOL,,,RFOA,,,RTIO,,,RTIP,,,RTIL,,,RTIA,,,RTOO,,,RTOP,,,RTOL,,,RTOA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
117,199.755554,192.976120,917.625122,495.635376,152.837723,919.336426,277.380066,-47.495461,922.414490,374.756622,-52.750134,933.846619,524.604980,4.811677,608.307861,506.350708,-33.418629,472.953125,502.328461,-148.262497,344.846008,454.998810,-276.887756,156.512634,394.313202,-329.012695,151.920441,451.435394,-186.117386,25.348352,,,,,,,,,,,,,,,,-16.263758,-3.498892,-13.147153,19.725061,-0.876957,-6.530891,-3.023947,-3.246453,11.346285,-2.964794,0.000000,0.000000,2.476990,0.004842,7.732389,2.476990,-0.004842,-7.732389,-47.811470,9.537898,-14.687876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.326813,121.903168,823.332458,341.344635,131.046402,1034.694702,131.690475,150.341965,822.119934,369.791443,331.343506,814.269958,454.870300,-15.536799,465.536377,446.225342,108.299019,824.111328,99.697784,107.833359,414.366882,588.151123,321.257690,352.435852,467.218323,-173.558670,48.336586,417.207062,-314.927002,176.470032,279.059631,-115.066650,39.430790,498.833252,-49.067741,198.025665,421.518127,-262.028381,148.482330,453.281311,-27.280853,450.430359,78.870422,-109.955048,66.298470,591.434570,0.755219,-73.691284,483.888672,-126.435860,5.625452,467.218231,-173.558624,48.336571,421.169128,-106.938515,2.656832,494.426971,-84.938911,55.521812
118,196.809418,202.694138,919.478638,492.480194,164.103470,921.782532,275.913239,-37.283962,924.596619,373.407867,-42.360157,935.818359,526.451477,22.055902,607.776184,509.781281,-14.101686,472.357941,505.134491,-131.391861,347.075165,455.470032,-263.661438,163.620483,394.936737,-315.020569,163.325882,450.207245,-183.779449,26.970144,,,,,,,,,,,,,,,,-15.128528,-3.965570,-11.481014,22.397408,0.149267,-6.478805,-6.256556,-2.656413,9.359303,-6.172942,0.000000,0.000000,2.467765,-0.124049,7.448220,2.467765,0.124049,-7.448220,-43.073948,10.682274,-14.494380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.727386,132.378830,825.461731,338.269348,141.488007,1036.824951,128.952972,159.758408,823.827148,366.151886,341.961731,816.488708,457.722443,2.084672,465.086090,443.691528,119.304672,826.452026,97.890503,113.965363,414.822815,579.569946,345.981323,358.263794,466.487671,-169.692307,48.718575,417.121002,-300.109589,188.212524,278.833099,-109.855057,38.251701,501.885223,-34.358887,187.773163,421.524200,-249.592850,156.137177,455.985626,-9.992004,450.261261,76.700134,-106.683487,80.121361,579.682007,9.778458,-73.683975,482.943237,-126.219910,2.220581,466.487671,-169.692322,48.718563,420.391724,-106.274155,-1.268383,494.742432,-81.108765,48.572102
119,193.970825,212.270477,921.207397,489.485931,175.180740,924.135193,274.523102,-27.232346,926.714478,372.119781,-32.106564,937.744141,528.154907,39.319305,607.486206,512.942261,5.329489,471.976776,507.727112,-113.900902,349.054138,455.582977,-249.527512,170.201218,395.082550,-300.285706,173.452133,449.147125,-178.592880,29.159451,,,,,,,,,,,,,,,,-13.951181,-4.384003,-9.894429,24.953817,1.291056,-6.115804,-8.647412,-2.036685,7.246639,-8.577817,0.000000,0.000000,2.471083,-0.257078,7.171155,2.471083,0.257078,-7.171155,-39.273079,11.264678,-14.290471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.263580,142.670563,827.494385,335.314331,151.791901,1038.855469,126.360626,169.015167,825.414795,362.673096,352.385559,818.562683,460.390656,19.887484,464.808594,441.288605,130.114197,828.707092,96.631805,120.656799,415.190338,571.077332,370.076782,364.544708,465.509369,-163.621399,50.715786,416.822632,-284.615356,198.683304,278.053101,-103.568451,38.141472,502.846649,-19.891006,180.530365,421.167786,-236.270233,163.412460,458.496002,7.514023,450.249939,74.000549,-102.535400,94.930069,566.706238,20.213959,-73.514389,481.738281,-123.290070,1.393285,465.509369,-163.621368,50.715786,419.252869,-103.272400,-2.798141,494.184052,-75.379944,44.664791
120,191.239975,221.705429,922.812134,486.652405,186.069839,926.394470,273.209473,-17.340216,928.767883,370.892151,-21.989071,939.623962,529.715149,56.600513,607.438660,515.833069,24.872595,471.811096,510.099854,-95.800804,350.792145,455.342194,-234.486221,176.248520,394.753296,-284.806305,182.293396,448.251343,-170.566940,31.899284,,,,,,,,,,,,,,,,-12.730286,-4.754061,-8.378223,27.388960,2.529037,-5.474705,-10.215916,-1.394798,5.036544,-10.176053,0.000000,0.000000,2.486822,-0.394249,6.901488,2.486822,0.394249,-6.901488,-36.414497,11.370203,-14.128283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.935120,152.778732,829.430359,332.479370,161.958038,1040.786011,123.913132,178.113678,826.883484,359.356110,362.615479,820.492126,462.863800,37.866375,464.711182,439.016449,140.727554,830.876404,95.848328,127.897995,415.517242,562.648743,393.590942,371.281677,464.405457,-155.051270,53.997135,416.259949,-268.596741,207.924881,276.883972,-95.738876,39.096203,502.114960,-5.072006,176.424774,420.468170,-222.052719,170.293701,460.803040,25.232803,450.400818,70.969757,-97.447395,110.616104,552.608215,32.034698,-73.048889,480.453949,-117.202812,2.687894,464.405457,-155.051270,53.997162,417.946777,-97.431992,-2.279072,493.023804,-67.209709,43.497086
121,188.617432,230.999832,924.294983,483.978973,196.771652,928.560669,271.971649,-7.606428,930.756287,369.724518,-12.006867,941.457458,531.131775,73.895683,607.635132,518.451965,44.521423,471.864288,512.236450,-77.118912,352.311829,454.760925,-218.537170,181.744888,393.959595,-268.577881,189.836502,447.510620,-159.730423,35.143166,,,,,,,,,,,,,,,,-11.465569,-5.075838,-6.923324,29.693205,3.845628,-4.616709,-11.029838,-0.739831,2.765221,-11.016834,0.000000,0.000000,2.514555,-0.535360,6.639502,2.514555,0.535360,-6.639502,-34.453594,11.115987,-14.045855,,,,,,,-0.342052,0.080962,0.000981,-0.088620,0.196965,0.776267,0.049797,0.031005,1.694667,,,,-70.096062,0.000000,-8.785995,113.317650,-70.219925,-7.086633,-217.106171,-133.099548,30.920624,0.000000,0.000000,-0.093377,0.000000,0.000000,-0.296155,0.000000,0.000000,0.379412,331.741455,162.704834,831.270691,329.764771,171.986221,1042.617798,121.609528,187.056244,828.235962,356.201477,372.653625,822.279480,465.131042,56.010868,464.802948,436.874390,151.146072,832.960815,95.471527,135.663925,415.847992,554.253174,416.557709,378.474731,463.268127,-143.876404,58.206589,415.397858,-252.127380,215.986420,275.513367,-85.945618,40.987625,500.158600,10.493484,175.310562,419.457855,-206.922668,176.740967,462.897888,43.154861,450.718231,67.854645,-91.247169,126.904037,537.684326,45.207764,-72.140717,479.224792,-107.792732,5.613317,463.268036,-143.876404,58.206562,416.639893,-88.482498,-0.126349,491.521576,-56.336121,44.647991
122,186.104126,240.155304,925.660217,481.464203,207.287979,930.634216,270.808289,1.971356,932.678528,368.615845,-2.158370,943.244019,532.404053,91.197128,608.078064,520.795898,64.264030,472.141724,514.109253,-57.900951,353.651093,453.866272,-201.678375,186.656799,392.729675,-251.593307,196.061783,446.908661,-146.144684,38.803471,,,,,,,,,,,,,,,,-10.158244,-5.349875,-5.521386,31.850531,5.224073,-3.633584,-11.186120,-0.085598,0.487369,-11.185713,0.000000,0.000000,2.553456,-0.679846,6.385444,2.553456,0.679846,-6.385444,-33.315372,10.634252,-14.066907,,,,,,,-0.318741,0.067453,0.022187,-0.055133,0.188608,0.733257,0.090694,0.009760,1.640742,,,,-64.629074,0.000000,-6.922097,125.639305,-59.082748,-6.589201,-240.399139,-111.073067,31.327129,0.000000,0.000000,-0.016496,0.000000,0.000000,-0.324811,0.000000,0.000000,0.459712,329.680969,172.451996,833.017029,327.170746,181.876587,1044.352051,119.448318,195.846512,829.476624,353.208313,382.503143,823.929138,467.181458,74.304047,465.093323,434.861176,161.372040,834.959595,95.439514,143.917328,416.221893,545.856873,438.995239,386.118530,462.166351,-130.125366,63.003883,414.225800,-235.211136,222.888184,274.125366,-73.829391,43.621864,497.473633,27.011673,176.870697,418.184387,-190.850357,182.681091,464.772125,61.265930,451.206696,64.917633,-83.648048,143.319687,522.449585,59.717194,-70.663971,478.146423,-95.096748,9.709127,462.166229,-130.125320,63.003891,415.466125,-76.331390,3.248464,489.915558,-42.717743,47.664726
123,183.701294,249.174515,926.914978,479.105560,217.621841,932.615906,269.717102,11.397079,934.532776,367.564392,7.558969,944.982544,533.530762,108.492203,608.769653,522.860352,84.081619,472.649628,515.682312,-38.207085,354.857391,452.702026,-183.906448,190.933517,391.119354,-233.844482,200.948105,446.421631,-129.912079,42.750870,,,,,,,,,,,,,,,,-8.811242,-5.577251,-4.165656,33.838844,6.647316,-2.636229,-10.794798,0.549135,-1.724195,-10.789852,0.000000,0.000000,2.602148,-0.826694,6.139510,2.602148,0.826694,-6.139510,-32.910038,10.053464,-14.201192,,,,,,,-0.292404,0.055636,0.042813,-0.023327,0.177139,0.685022,0.120895,-0.010497,1.581657,,,,-58.298908,-0.000000,-5.660046,136.122375,-48.025440,-6.436696,-257.279266,-89.933228,31.204788,0.000000,0.000000,0.036213,0.000000,0.000000,-0.338642,0.000000,0.000000,0.524958,327.751465,182.025314,834.672607,324.699066,191.629227,1045.992432,117.426834,204.490417,830.613586,350.375336,392.169769,825.448914,469.003815,92.722511,465.592072,432.974335,171.410339,836.874023,95.694794,152.617279,416.672058,537.432068,460.908630,394.200684,461.149231,-113.911591,68.081924,412.760406,-217.802338,228.610886,272.871155,-59.118141,46.789665,494.528900,44.545670,180.693665,416.708069,-173.799896,188.010849,466.418365,79.545914,451.868713,62.377655,-74.309456,159.239227,507.565338,75.586807,-68.557663,477.278839,-79.281334,14.572263,461.149231,-113.911560,68.081902,414.519501,-61.016853,7.474840,488.405396,-26.462257,52.109497
124,181.410294,258.061310,928.069580,476.899017,227.777756,934.507019,268.694672,20.676575,936.316528,366.567749,17.148726,946.670959,534.510376,125.762642,609.710510,524.639343,103.948227,473.392670,516.919006,-18.104055,355.977020,451.328430,-165.218643,194.510513,389.216858,-215.324203,204.479294,446.018524,-111.177193,46.826214,,,,,,,,,,,,,,,,-7.429202,-5.759587,-2.851979,35.632603,8.096722,-1.734645,-9.966932,1.142748,-3.787790,-9.944939,0.000000,0.000000,2.658592,-0.974422,5.901793,2.658592,0.974422,-5.901793,-33.144573,9.480208,-14.444127,,,,,,,-0.263879,0.046753,0.059747,0.001064,0.163912,0.634017,0.138261,-0.027778,1.522638,,,,-51.581551,-0.000000,-5.055777,143.002075,-37.804394,-6.580175,-265.160248,-71.037468,30.691021,0.000000,0.000000,0.066481,0.000000,0.000000,-0.330032,0.000000,0.000000,0.566620,325.948669,191.432144,836.241394,322.350922,201.243805,1047.543091,115.540512,212.996109,831.657532,347.698883,401.661377,826.849854,470.587006,111.237373,466.306610,431.210266,181.268250,838.704834,96.184906,161.726822,417.223267,528.963623,482.292297,402.700989,460.245392,-95.396576,73.174034,411.046234,-199.830490,233.103180,271.846802,-41.662952,50.304916,491.705566,63.066605,186.328812,415.096252,-155.739166,192.609772,467.829468,97.969727,452.705048,60.359039,-62.928917,173.999863,493.704651,92.890289,-65.852356,476.645203,-60.585308,19.864347,460.245483,-95.396591,73.174042,413.845703,-42.674088,12.241308,487.131927,-7.764267,57.582588
125,179.232346,266.820770,929.137268,474.838928,237.761841,936.309082,267.736603,29.817701,938.026733,365.622711,26.615459,948.306519,535.340515,142.984482,610.898254,526.126038,123.831238,474.371582,517.791138,2.343143,357.041870,449.817719,-145.616608,197.317001,387.137909,-196.028351,206.649200,445.664398,-90.121384,50.860268,,,,,,,,,,,,,,,,-6.018146,-5.899063,-1.579694,37.206875,9.551109,-1.016576,-8.806888,1.674577,-5.628109,-8.764098,0.000000,0.000000,2.720215,-1.121059,5.672261,2.720215,1.121059,-5.672261,-33.930618,8.986176,-14.777435,,,,,,,-0.234715,0.040688,0.071553,0.015021,0.149764,0.582831,0.143660,-0.041524,1.467858,,,,-44.908203,0.000000,-4.955774,145.313705,-28.645758,-6.863962,-263.287903,-54.660557,29.637108,0.000000,0.000000,0.079367,0.000000,0.000000,-0.299262,0.000000,0.000000,0.581584,324.267151,200.682495,837.728516,320.127991,210.720978,1049.009644,113.783371,221.373718,832.621887,345.173401,410.988770,828.145935,471.919891,129.815735,467.239410,429.563721,190.955429,840.452515,96.859589,171.222839,417.890289,520.456848,503.135315,411.590759,459.462708,-74.766388,78.060638,409.153229,-181.222885,236.301849,271.085785,-21.466747,54.027405,489.252075,82.492859,193.327423,413.417755,-136.651749,196.359528,468.998322,116.508072,453.711273,58.879242,-49.333527,187.033691,481.404846,111.732315,-62.661926,476.232513,-39.280910,25.313576,459.462708,-74.766388,78.060654,413.440216,-21.514374,17.302511,486.162292,13.138851,63.735813
126,177.168228,275.459137,930.133545,472.918091,247.581955,938.024048,266.837616,38.830284,939.660034,364.725616,35.964592,949.885132,536.018433,160.128571,612.325623,527.313293,143.692596,475.580688,518.286682,23.076607,358.060089,448.247803,-125.110023,199.285004,385.012299,-175.956741,207.464447,445.326660,-66.953239,54.694244,,,,,,,,,,,,,,,,-4.585275,-5.998169,-0.351944,38.540840,10.986136,-0.534972,-7.408973,2.128459,-7.189314,-7.350400,0.000000,0.000000,2.783928,-1.264314,5.450698,2.783928,1.264314,-5.450698,-35.188343,8.604649,-15.172015,,,,,,,-0.206057,0.036294,0.077452,0.017633,0.135536,0.533651,0.139132,-0.051584,1.419962,,,,-38.561756,0.000000,-5.063012,142.660461,-20.538469,-7.056351,-252.003036,-40.752655,27.840748,0.000000,0.000000,0.080823,0.000000,0.000000,-0.251660,0.000000,0.000000,0.570037,322.699860,209.788315,839.139832,318.031891,220.061157,1050.398560,112.147873,229.634811,833.522400,342.790894,420.164551,829.353821,472.991364,148.422363,468.386444,428.027710,200.483994,842.118652,97.665985,181.101379,418.678864,511.940430,523.428467,420.833313,458.791321,-52.218208,82.572731,407.169678,-161.920166,238.152283,270.567261,1.312500,57.865013,487.273102,102.714851,201.269165,411.739471,-116.544434,199.161026,469.918243,135.128113,454.878540,57.873840,-33.520470,197.958954,470.981812,132.219009,-59.145737,475.998566,-15.650902,30.712875,458.791321,-52.218224,82.572693,413.257233,2.192669,22.476959,485.492493,35.993431,70.278366
