WALKING 04
Date:,2019/07/18
Time:,15:30:34
Type:,
Description:,""
Notes:,""

EVENTS
Subject,Context,Name,Time (s),Description
Patient 1,Right,Foot Strike,1.870000,The instant the heel strikes the ground
Patient 1,Right,Foot Off,2.620000,The instant the toe leaves the ground

TRAJECTORIES
100.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,RTHI,,,RKNE,,,RTIB,,,RANK,,,RHEE,,,RTOE,,,*1,,,*2,,,*3,,,*4,,,*5,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,LPelvisAngles,,,RPelvisAngles,,,RFootProgressAngles,,,RGroundReactionForce,,,RNormalisedGRF,,,RAnkleForce,,,RKneeForce,,,RHipForce,,,RGroundReactionMoment,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RAnklePower,,,RKneePower,,,RHipPower,,,PELO,,,PELP,,,PELL,,,PELA,,,RFEO,,,RFEP,,,RFEL,,,RFEA,,,RFOO,,,RFOP,,,RFOL,,,RFOA,,,RTIO,,,RTIP,,,RTIL,,,RTIA,,,RTOO,,,RTOP,,,RTOL,,,RTOA
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
141,188.056976,153.708557,918.547241,485.273499,131.098907,924.184509,283.169373,-82.902916,924.521545,381.353607,-83.528694,935.811523,542.574585,8.468878,603.043457,533.058472,-20.470749,467.756592,535.786987,-143.367722,350.496307,488.733521,-289.258575,182.333725,430.183289,-342.577820,188.271790,484.247009,-231.039581,34.905865,,,,,,,,,,,,,,,,-11.630636,-5.948705,-8.305080,30.720490,2.618901,-3.662498,-9.991707,-0.646228,2.439708,-9.982556,0.000000,0.000000,2.251622,-0.914565,4.388731,2.251622,0.914565,-4.388731,-35.096279,7.738434,-14.282968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.600647,91.481804,825.983215,331.223846,99.792572,1037.352905,123.687912,107.526222,821.982849,350.787781,302.268677,817.953979,479.716125,-10.025606,459.361267,440.098816,84.077866,828.159058,108.578217,62.647911,400.948975,564.119324,353.704926,375.617615,498.066742,-214.995392,59.697552,449.659119,-324.320709,215.273163,309.651611,-165.800217,35.642044,523.670166,-59.667023,176.815674,453.097351,-279.310608,176.222809,478.411163,-23.226715,445.480927,99.156982,-180.507187,115.528679,566.257019,-27.559525,-73.849091,514.202576,-178.553589,7.839015,498.066711,-214.995346,59.697552,451.397522,-162.155197,-0.179467,522.737061,-126.777466,46.878380
142,185.461426,162.778412,920.297852,482.735687,141.093491,926.704285,281.293549,-73.499374,926.940674,379.435303,-73.883987,938.213806,542.318359,27.078907,604.109680,533.663330,0.859320,468.805420,535.254395,-122.741142,352.679047,485.238831,-271.673523,187.847443,426.093170,-325.347778,194.244232,482.348572,-214.686539,40.271473,,,,,,,,,,,,,,,,-10.086578,-6.025991,-6.358284,33.098103,4.114460,-2.957800,-9.187091,0.147522,-0.325063,-9.186939,0.000000,0.000000,2.321159,-1.064349,4.217704,2.321159,1.064349,-4.217704,-34.855618,6.988084,-14.740042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.429047,100.887642,828.178406,328.499268,109.454491,1039.528320,121.478455,116.275574,823.632324,347.985779,311.713226,819.922058,479.952087,9.515770,460.732849,437.943695,93.812218,830.626160,107.200165,69.590851,404.709076,550.542297,376.907593,385.023315,495.405090,-198.849030,66.534836,445.482178,-307.295746,222.246429,307.060120,-150.940521,39.515591,518.491150,-42.505920,182.823059,449.200317,-262.558075,182.909729,478.438416,-3.876068,447.057892,92.782593,-172.407333,134.075760,547.470581,-12.554123,-72.798096,512.046021,-162.700134,14.630970,495.405029,-198.849045,66.534813,449.264374,-146.730652,5.624524,519.741333,-110.585770,53.393719
143,182.967331,171.787430,921.973572,480.301971,150.992935,929.116333,279.474396,-64.147812,929.249146,377.576202,-64.305519,940.501404,541.978638,45.446220,605.366882,534.036865,21.982952,469.994751,534.488770,-101.940468,354.596252,481.746613,-253.109344,192.301590,422.057556,-307.149994,198.761536,480.308289,-196.349060,45.190983,,,,,,,,,,,,,,,,-8.552650,-6.084519,-4.538148,35.173355,5.659981,-2.400899,-8.284040,0.835351,-2.720102,-8.274642,0.000000,0.000000,2.384742,-1.208292,4.053180,2.384742,1.208292,-4.053180,-34.993420,6.396421,-15.168015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.345001,110.226295,830.278198,325.883820,119.027222,1041.608032,119.361069,124.981773,825.209839,345.295258,321.087524,821.812378,480.044556,28.947153,462.163940,435.874146,103.467476,832.986572,106.214264,77.165619,407.945343,537.608887,399.265198,394.601776,492.745819,-180.794098,72.609840,441.406860,-289.398102,227.750305,304.548401,-133.627808,43.349827,513.843628,-24.334534,189.118927,445.415833,-244.655670,188.447708,478.333374,15.427521,448.638794,87.572021,-161.390137,150.488602,530.800110,4.040527,-70.947617,509.858673,-144.592758,20.896341,492.745728,-180.794083,72.609848,447.126190,-128.870667,11.143043,516.891296,-92.439560,59.732689
144,180.574570,180.735718,923.574402,477.972168,160.797531,931.420471,277.711853,-54.848125,931.446777,375.776306,-54.793217,942.674255,541.555481,63.570053,606.814209,534.179138,42.899197,471.323792,533.491089,-80.966835,356.247345,478.258606,-233.566757,195.696594,418.078674,-287.983948,201.825912,478.127930,-176.036819,49.661194,,,,,,,,,,,,,,,,-7.027461,-6.122304,-2.848309,36.952457,7.217523,-1.992197,-7.271546,1.426251,-4.770080,-7.246224,0.000000,0.000000,2.442509,-1.346279,3.895076,2.442509,1.346279,-3.895076,-35.512230,5.949065,-15.578197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.348175,119.497688,832.283142,323.377563,128.511292,1043.592529,117.335114,133.644455,826.716064,342.715363,330.391632,823.625244,479.981689,48.278999,463.663208,433.889709,113.043480,835.240112,105.541077,85.446991,410.737762,525.347900,420.854370,404.352112,490.097778,-160.861633,77.925804,437.404449,-270.649658,231.773407,302.111725,-113.864639,47.077736,509.686951,-5.179428,195.732391,441.721741,-225.625473,192.826767,478.083954,34.693100,450.229614,83.278076,-147.717438,164.672058,516.153870,22.384171,-68.506912,507.662231,-124.265610,26.643236,490.097778,-160.861618,77.925781,445.000183,-108.599937,16.360531,514.191956,-72.371521,65.912109
145,178.282730,189.623672,925.099976,475.745514,170.508163,933.616394,276.005951,-45.600075,933.533508,374.035675,-45.346779,944.731995,541.048950,81.448265,608.449036,534.090576,63.605408,472.790192,532.264465,-59.823215,357.630737,474.779419,-213.047928,198.034134,414.162323,-267.848297,203.443985,475.812500,-153.775925,53.674599,,,,,,,,,,,,,,,,-5.510221,-6.137431,-1.290080,38.441425,8.754729,-1.732499,-6.143325,1.926863,-6.497125,-6.103720,0.000000,0.000000,2.494623,-1.478248,3.743259,2.494623,1.478248,-3.743259,-36.412998,5.631020,-15.976453,,,,,,,-0.196984,0.042640,0.106280,0.080998,0.095215,0.485922,0.158192,-0.090668,1.263517,,,,-35.252899,0.000000,-6.701806,163.741333,-21.666145,-8.261995,-268.658478,-21.581942,23.579851,0.000000,0.000000,0.051575,0.000000,0.000000,-0.344924,0.000000,0.000000,0.649347,326.438110,128.702103,834.192078,320.980408,137.907303,1045.481201,115.399704,142.263794,828.150024,340.245331,339.626221,825.359436,479.752197,67.516273,465.238159,431.990112,122.540680,837.386353,105.099335,94.480865,413.167755,513.769836,441.746674,414.271759,487.463989,-139.091965,82.504089,433.458191,-251.064850,234.308365,299.741119,-91.695000,50.680557,505.972992,14.903778,202.678192,438.102753,-205.490997,196.044693,477.678711,53.924622,451.836395,79.688812,-131.642487,176.603546,503.412048,42.585709,-65.651260,505.465851,-101.767685,31.902660,487.463928,-139.091980,82.504105,442.891541,-85.968697,21.294823,511.635529,-50.435753,71.960693
146,176.091019,198.452026,926.549988,473.620667,180.126541,935.703308,274.356659,-36.403126,935.508667,372.354309,-35.965607,946.673889,540.459412,99.076660,610.266174,533.772034,84.096313,474.389252,530.815063,-38.515209,358.743286,471.318054,-191.557159,199.318756,410.319366,-246.740723,203.629913,473.372528,-129.616760,57.219383,,,,,,,,,,,,,,,,-4.001005,-6.128302,0.136905,39.645290,10.243964,-1.623085,-4.901192,2.342051,-7.920300,-4.854324,0.000000,0.000000,2.541161,-1.604053,3.597503,2.541161,1.604053,-3.597503,-37.691452,5.426353,-16.363829,,,,,,,-0.189549,0.040984,0.101171,0.066483,0.097020,0.478046,0.168689,-0.091839,1.265023,,,,-33.847523,-0.000000,-6.408435,157.292191,-19.215862,-8.152863,-260.480316,-15.996037,24.840378,0.000000,0.000000,0.058382,0.000000,0.000000,-0.259489,0.000000,0.000000,0.626848,324.613464,137.840607,836.004944,318.691437,147.216858,1047.274170,113.553085,150.840317,829.511841,337.883057,348.792572,827.014709,479.345428,86.658173,466.893921,430.174408,131.960480,839.424194,104.808868,104.287415,415.314240,502.871246,462.005737,424.354248,484.843719,-115.542801,86.378853,429.563812,-230.648926,235.354736,297.423676,-67.212784,54.175781,502.647095,35.830536,209.943619,434.551666,-184.276489,198.107117,477.107361,73.120636,453.463745,76.629120,-113.398972,186.311752,492.446106,64.710205,-62.517426,503.270386,-77.174065,36.720211,484.843750,-115.542770,86.378815,440.797058,-61.064072,25.985851,509.204834,-26.716301,77.908463
147,173.998032,207.222076,927.923462,471.595245,189.655579,937.679810,272.764008,-27.256357,937.371582,370.732300,-26.648659,948.498779,539.787415,116.448425,612.256348,533.224854,104.363243,476.112732,529.153198,-17.051390,359.580261,467.888672,-169.101624,199.560013,406.566345,-224.657867,202.408844,470.825867,-103.638733,60.281532,,,,,,,,,,,,,,,,-2.500670,-6.093576,1.434191,40.567936,11.661355,-1.665430,-3.557153,2.675571,-9.056247,-3.512754,0.000000,0.000000,2.582284,-1.723567,3.457466,2.582284,1.723567,-3.457466,-39.335281,5.317640,-16.737537,,,,,,,-0.179945,0.038449,0.094951,0.050028,0.095916,0.467952,0.173684,-0.095574,1.264853,,,,-31.882458,-0.000000,-6.021221,148.956528,-16.307230,-7.796772,-247.947449,-9.360807,24.919291,0.000000,0.000000,0.062460,0.000000,0.000000,-0.180963,0.000000,0.000000,0.595701,322.872498,146.914978,837.720581,316.509308,156.442307,1048.970093,111.793167,159.374481,830.800598,335.625336,357.892700,828.589661,478.752350,105.697777,468.632385,428.441132,141.305084,841.352600,104.592712,114.864288,417.251160,492.638885,481.686615,434.587280,482.236877,-90.294357,89.592461,425.730225,-209.395599,234.923035,295.146423,-40.566658,57.601772,499.650848,57.493103,217.477966,431.069794,-162.007278,199.027496,476.361481,92.274628,455.113953,73.957092,-93.197800,193.862183,483.128296,88.785217,-59.204865,501.072540,-50.593933,41.148926,482.237000,-90.294327,89.592484,438.709045,-34.018021,30.485380,506.877228,-1.331417,83.777420
148,172.001770,215.935791,929.219116,469.665924,199.099625,939.543823,271.228027,-18.158377,939.120850,369.169800,-17.394310,950.204712,539.033630,133.553909,614.405518,532.451294,124.393677,477.948303,527.294128,4.556724,360.135345,464.511047,-145.692001,198.775116,402.925446,-201.595856,199.819946,468.198730,-75.951340,62.848614,,,,,,,,,,,,,,,,-1.011126,-6.032349,2.603775,41.212521,12.985771,-1.860025,-2.134032,2.930869,-9.920797,-2.102107,0.000000,0.000000,2.618057,-1.836616,3.322659,2.618057,1.836616,-3.322659,-41.322510,5.285508,-17.092049,,,,,,,-0.168607,0.034714,0.087618,0.031407,0.091702,0.456241,0.172760,-0.101259,1.263266,,,,-29.413116,-0.000000,-5.454610,138.816803,-12.875463,-7.133240,-231.074310,-1.950203,23.805256,0.000000,0.000000,0.063321,0.000000,0.000000,-0.111182,0.000000,0.000000,0.555000,321.212585,155.928055,839.336609,314.432190,165.586670,1050.567139,110.116760,167.867798,832.014587,333.468018,366.929871,830.081848,477.965271,124.622551,470.450928,426.787659,150.578247,843.169434,104.378784,126.191765,419.044861,483.054382,500.834900,444.950714,479.645416,-63.452644,92.192085,421.977295,-187.288651,233.039917,292.896942,-11.962299,61.001842,496.921783,79.769096,225.188843,427.666901,-138.709915,198.828857,475.434845,111.374710,456.786102,71.560455,-71.226791,199.348251,475.337280,114.804871,-55.776398,498.868164,-22.173985,45.242771,479.645447,-63.452648,92.192055,436.618652,-5.010517,34.846039,504.626984,25.566605,89.575027
149,170.099457,224.595901,930.434998,467.828278,208.464554,941.292480,269.748779,-9.107224,940.754761,367.666931,-8.200267,951.789246,538.199097,150.380600,616.693970,531.454407,144.171097,479.879028,525.258179,26.295095,360.401276,461.210236,-121.342865,196.991684,399.423615,-177.551208,195.919052,465.525909,-46.691669,64.914459,,,,,,,,,,,,,,,,0.464799,-5.944116,3.647797,41.582195,14.198041,-2.205370,-0.664477,3.111908,-10.531029,-0.653284,0.000000,0.000000,2.648601,-1.943014,3.192454,2.648601,1.943014,-3.192454,-43.621265,5.308613,-17.420527,,,,,,,-0.156303,0.029589,0.079285,0.010735,0.084212,0.443962,0.166925,-0.108950,1.260511,,,,-26.573093,0.000000,-4.659367,127.089890,-8.887757,-6.150347,-210.385147,6.114067,21.550735,0.000000,0.000000,0.060862,0.000000,0.000000,-0.051671,0.000000,0.000000,0.505209,319.630493,164.884079,840.851379,312.457428,174.654755,1052.063721,108.520355,176.322311,833.152649,331.405487,375.908447,831.489319,476.978607,143.414627,472.342285,425.211060,159.785156,844.872131,104.100433,138.236633,420.753845,474.098053,519.488464,455.415710,477.076660,-35.148602,94.226532,418.334229,-164.304108,229.752411,290.667450,18.344948,64.408287,494.397583,102.533569,232.944550,424.360291,-114.413292,197.546112,474.323242,130.403656,458.474945,69.352875,-47.654671,202.886932,468.957855,142.731476,-52.260040,496.657471,7.903238,49.051208,477.076660,-35.148594,94.226509,434.521057,25.734425,39.111805,502.431122,53.797295,95.290543
150,168.287613,233.205948,931.568481,466.076813,217.757767,942.921997,268.326416,-0.100336,942.270996,366.223969,0.936524,953.249084,537.285095,166.913528,619.096008,530.238464,163.675232,481.883087,523.070618,48.147785,360.370880,458.015869,-96.073128,194.250290,396.091492,-152.522095,190.780243,462.849548,-16.018890,66.483833,,,,,,,,,,,,,,,,1.923311,-5.828862,4.568186,41.681107,15.280472,-2.696912,0.811773,3.223768,-10.906831,0.797109,0.000000,0.000000,2.674025,-2.042547,3.066084,2.674025,2.042547,-3.066084,-46.191059,5.364356,-17.716196,,,,,,,-0.144212,0.023063,0.070077,-0.012084,0.073950,0.432696,0.156976,-0.117903,1.257963,,,,-23.573198,-0.000000,-3.633319,114.027969,-4.444919,-4.890183,-186.505417,14.416540,18.321959,0.000000,0.000000,0.055522,0.000000,0.000000,-0.003284,0.000000,0.000000,0.447142,318.122009,173.788101,842.260986,310.581665,183.651825,1053.456299,106.999130,184.740311,834.211731,329.430634,384.833984,832.807983,475.788879,162.051575,474.293335,423.707031,168.932358,846.456787,103.697205,150.955658,422.426666,465.751404,537.677734,465.943848,474.544678,-5.533558,95.744362,414.836975,-140.415115,225.131531,288.456665,50.064445,67.830139,492.018402,125.672043,240.585114,421.173737,-89.148651,195.227554,473.025208,149.340042,460.171692,67.269409,-22.632240,204.614609,463.881775,172.499084,-48.652130,494.447266,39.426975,52.615311,474.544678,-5.533546,95.744354,432.417938,57.959652,43.310551,500.271820,83.162170,100.895569
